혈액원,헌혈의 집,구분,주소지,전화번호
대구경북,계명대센터,국고,"대구 달서구 달구벌대로 1095, 계명대학교 산학협력관 2층",053-582-2285
대구경북,신매광장센터,자체,"대구 수성구 신매동 567-13, A동 2층",053-795-9767
대구경북,동성로광장센터,국고,대구 중구 동성로 23-2 3층,053-254-2901
경남,용지로센터(원내),원내,경남 창원시 성산구 용지로 226,055-270-6035
경남,진주센터,국고,"경남 진주시 진양호로 526, 8층",055-745-2611
경남,김해센터,국고,"경남 김해시 내외중앙로 59, 2층 202호",055-333-2612
경남,경남대앞센터,자체,"경남 창원시 마산합포구 해안대로 2, 댓츠빌딩 8층",055-245-5161
경남,창원센터,국고,"경남 창원시 성산구 원이대로 595, 고운메디칼빌딩 5층",055-286-5161
경남,경상대센터,자체대학,"경남 진주시 진주대로501, 경상대학교 학생회관 복지동 103호",055-756-5161
제주,도남센터(원내),원내,제주 제주시 오남로 45,064-720-7844
제주,신제주센터,국고,"제주 제주시 신광로 39, 2층",064-758-8101
제주,한라센터,국고,"제주 제주시 중앙로 222, 3층",064-757-8101
제주,서귀포센터,자체,"제주 서귀포시 중앙로 101번길 11, 2층",064-763-8101
울산,함월센터(원내),원내,울산 중구 함월10길 25,052-210-8553
울산,성남동센터,국고,"울산 중구 젊음의거리 30-5, 다남빌딩 2층",052-243-8799
울산,울산대센터,자체대학,"울산 남구 대학로 93, 종합서비스센터 105호",052-224-3969
울산,울산과학대센터,자체대학,"울산 동구 봉수로 101, 제3대학관 2층",052-236-3459
울산,양산센터,국고,"경남 양산시 양산역2길 7, 대상골드타워 3층",055-366-5201
울산,경주센터,자체,"경북 경주시 원효로 122, 1층",054-777-7521
울산,공업탑센터,국고,"울산 남구 삼산로 17, 4층",052-260-7918
울산,울산삼산동센터,국고,"울산 남구 삼산로 275, 킴스메디컬빌딩 2층",052-266-5225
